,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,,,0,48844,-1,1,-1,1,0.0,0,0,1,1.0,0.0,0,David,0.0,0,0,0.0,1,False,0.0,0,0,0,0,0,,49,0,0,0,48844.jpg,0.0,0,0,Ospina,0.2,False,13.0,a,1,3,0.0,0,388,87,2988,577,0.0,0.0,Ospina,0
1,0,0,46,,,0,11334,0,0,0,0,0.0,0,0,1,3.0,2.0,2,Petr,2.0,8,0,9.6,2,False,96.4,0,0,0,0,270,,55,0,0,0,11334.jpg,2.0,0,9,Cech,5.4,False,33.0,a,1,3,0.0,6,8408,2140,49074,11941,0.4,1.1,Cech,0
2,0,0,0,0.0,0.0,0,98980,0,0,0,0,0.0,0,0,1,0.0,0.0,0,Damian Emiliano,0.0,0,0,0.0,3,False,0.0,0,0,0,0,0,Season-long loan to Getafe,40,0,0,0,98980.jpg,0.0,0,0,Martinez,0.9,False,26.0,u,1,3,0.0,0,276,64,11093,1835,0.0,0.0,Martinez,0
3,0,0,25,100.0,100.0,0,51507,0,0,0,0,0.6,0,0,2,1.0,0.0,0,Laurent,0.0,4,0,4.0,4,False,39.4,0,0,0,0,90,,60,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.7,False,6.0,a,1,3,0.0,0,5280,2136,7258,1867,0.0,0.0,Koscielny,0
4,0,0,0,100.0,100.0,0,17127,0,0,0,0,0.0,0,0,2,1.0,0.0,0,Per,0.0,0,0,0.0,5,False,0.0,0,0,0,0,0,,50,0,0,0,17127.jpg,0.0,0,0,Mertesacker,0.5,False,4.0,a,1,3,0.0,0,2196,423,9006,1826,0.0,0.0,Mertesacker,0
5,0,0,0,0.0,0.0,0,158074,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Gabriel Armando,0.0,0,0,0.0,6,False,0.0,0,0,0,0,0,Joined Valencia on 18/8,50,0,0,0,158074.jpg,0.0,0,0,de Abreu,0.0,False,5.0,u,1,3,0.0,0,236,10,1092,273,0.0,0.0,Gabriel,0
6,0,0,27,,,0,98745,0,0,0,0,43.2,0,0,2,2.0,1.0,0,Héctor,1.0,8,0,13.2,7,False,25.6,0,0,0,0,270,,60,0,0,0,98745.jpg,1.0,0,0,Bellerín,11.4,False,24.0,a,1,3,63.0,3,25739,3590,160492,41861,0.2,0.5,Bellerín,0
7,0,0,0,100.0,100.0,0,42427,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Kieran,0.0,0,0,0.0,8,False,0.0,0,0,0,0,0,,50,0,0,0,42427.jpg,0.0,0,0,Gibbs,0.2,False,3.0,a,19,35,0.0,0,2337,1915,2648,739,0.0,0.0,Gibbs,0
8,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,9,False,0.0,0,0,0,0,0,Season-long loan to Birmingham,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.2,False,25.0,u,1,3,0.0,0,639,7,7551,1785,0.0,0.0,Jenkinson,0
9,0,0,60,,,0,38411,-1,1,-1,1,19.7,0,0,2,2.0,1.0,0,Nacho,1.0,8,0,9.0,10,False,65.6,0,0,0,0,270,,54,0,0,0,38411.jpg,1.0,0,0,Monreal,3.8,False,18.0,a,1,3,4.0,3,9188,1671,75433,15643,0.2,0.6,Monreal,0
