,web_name,season_name,position,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bonus,bps,penalties_missed,penalties_saved,start_cost,end_cost,ict_index,influence,creativity,threat,id,element_code,ea_index,element_type,unique_element_code,season,red_cards,yellow_cards,own_goals
0,Ospina,2014/15,goalkeeper,76,1620,0,0,8,11,47,0,301,0,0,50,50,0.0,0.0,0.0,0.0,5424,48844,241,1,1,9,0,0,0
1,Ospina,2015/16,goalkeeper,20,360,0,0,2,5,17,2,98,0,0,50,47,0.0,0.0,0.0,0.0,6096,48844,56,1,1,10,0,0,0
2,Ospina,2016/17,goalkeeper,2,143,0,0,0,4,4,0,18,0,0,50,47,2.9,28.8,0.0,0.0,6818,48844,0,1,1,11,0,0,0
3,Cech,2006/07,goalkeeper,98,1714,0,0,0,9,58,1,0,0,0,65,64,0.0,0.0,0.0,0.0,115,11334,0,1,2,1,0,1,0
4,Cech,2007/08,goalkeeper,120,2313,0,0,0,17,60,2,0,0,0,65,65,0.0,0.0,0.0,0.0,807,11334,0,1,2,2,0,0,0
5,Cech,2008/09,goalkeeper,171,3150,0,0,0,24,87,7,0,0,1,60,60,0.0,0.0,0.0,0.0,1426,11334,0,1,2,3,0,0,0
6,Cech,2009/10,goalkeeper,144,3020,0,1,0,26,66,0,0,0,1,65,62,0.0,0.0,0.0,0.0,2156,11334,0,1,2,4,1,0,1
7,Cech,2010/11,goalkeeper,158,3420,0,1,15,33,98,2,0,0,1,65,67,0.0,0.0,0.0,0.0,2829,11334,0,1,2,5,0,0,0
8,Cech,2011/12,goalkeeper,127,3060,0,0,10,39,94,7,0,0,0,70,68,0.0,0.0,0.0,0.0,3319,11334,399,1,2,6,0,0,0
9,Cech,2012/13,goalkeeper,144,3195,0,0,14,36,126,2,0,0,0,65,64,0.0,0.0,0.0,0.0,3991,11334,502,1,2,7,0,2,0
10,Cech,2013/14,goalkeeper,146,3060,0,0,16,24,82,1,163,0,0,65,62,0.0,0.0,0.0,0.0,4699,11334,417,1,2,8,0,0,0
11,Cech,2014/15,goalkeeper,38,607,0,0,5,2,16,0,129,0,0,60,54,0.0,0.0,0.0,0.0,5389,11334,103,1,2,9,0,0,0
12,Cech,2015/16,goalkeeper,159,3060,0,0,16,31,101,15,705,0,0,55,59,0.0,0.0,0.0,0.0,6097,11334,409,1,2,10,0,0,0
13,Cech,2016/17,goalkeeper,134,3097,0,0,12,37,115,2,660,0,0,55,54,82.0,819.8,0.1,0.0,6819,11334,0,1,2,11,0,2,1
14,Martinez,2012/13,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,45,44,0.0,0.0,0.0,0.0,4041,98980,0,1,3,7,0,0,0
15,Martinez,2014/15,goalkeeper,14,302,0,0,2,4,4,0,57,0,0,45,45,0.0,0.0,0.0,0.0,5427,98980,33,1,3,9,0,0,0
16,Martinez,2016/17,goalkeeper,8,180,0,0,1,3,5,0,35,0,0,40,39,3.1,30.6,0.0,0.0,6882,98980,0,1,3,11,0,0,0
17,Koscielny,2010/11,defender,85,2617,2,0,9,36,0,0,0,0,0,60,59,0.0,0.0,0.0,0.0,2641,51507,0,2,4,5,2,5,0
18,Koscielny,2011/12,defender,103,2871,2,1,11,42,0,5,0,0,0,60,58,0.0,0.0,0.0,0.0,3383,51507,436,2,4,6,0,8,2
19,Koscielny,2012/13,defender,88,1675,2,1,7,19,0,11,0,0,0,55,53,0.0,0.0,0.0,0.0,4059,51507,285,2,4,7,1,1,0
20,Koscielny,2013/14,defender,155,2739,2,0,17,26,0,24,228,0,0,55,56,0.0,0.0,0.0,0.0,4763,51507,463,2,4,8,1,1,0
21,Koscielny,2014/15,defender,120,2287,3,0,11,19,0,15,575,0,0,60,61,0.0,0.0,0.0,0.0,5451,51507,387,2,4,9,0,4,0
22,Koscielny,2015/16,defender,153,2845,4,0,15,31,0,18,790,0,0,60,63,0.0,0.0,0.0,0.0,6166,51507,493,2,4,10,0,3,0
23,Koscielny,2016/17,defender,121,2821,2,1,10,37,0,19,723,0,0,60,61,112.7,831.2,53.9,239.0,6891,51507,0,2,4,11,1,4,0
24,Mertesacker,2011/12,defender,59,1826,0,0,6,25,0,2,0,0,0,60,55,0.0,0.0,0.0,0.0,3559,17127,227,2,5,6,0,2,0
25,Mertesacker,2012/13,defender,135,3028,3,0,14,30,0,8,0,0,0,50,55,0.0,0.0,0.0,0.0,4066,17127,462,2,5,7,1,3,0
26,Mertesacker,2013/14,defender,157,3150,2,1,16,39,0,23,263,0,0,55,62,0.0,0.0,0.0,0.0,4768,17127,471,2,5,8,0,3,0
27,Mertesacker,2014/15,defender,121,3150,0,1,12,34,0,12,732,0,0,60,61,0.0,0.0,0.0,0.0,5455,17127,413,2,5,9,0,2,0
28,Mertesacker,2015/16,defender,71,2047,0,0,9,24,0,1,478,0,0,55,52,0.0,0.0,0.0,0.0,6167,17127,265,2,5,10,1,1,0
29,Mertesacker,2016/17,defender,1,38,0,0,0,1,0,0,5,0,0,50,48,1.8,17.8,0.1,0.0,6892,17127,0,2,5,11,0,0,0
30,Gabriel,2014/15,defender,16,350,0,1,1,4,0,0,90,0,0,55,51,0.0,0.0,0.0,0.0,5666,158074,73,2,6,9,0,0,0
31,Gabriel,2015/16,defender,83,1764,1,0,10,18,0,9,474,0,0,50,43,0.0,0.0,0.0,0.0,6168,158074,244,2,6,10,1,3,0
32,Gabriel,2016/17,defender,45,1517,0,0,5,18,0,2,296,0,0,50,48,50.0,295.8,84.5,119.0,6893,158074,0,2,6,11,0,6,0
33,Beller?n,2013/14,defender,0,0,0,0,0,0,0,0,0,0,0,45,45,0.0,0.0,0.0,0.0,4970,98745,0,2,7,8,0,0,0
34,Beller?n,2014/15,defender,77,1563,2,1,7,15,0,5,372,0,0,45,48,0.0,0.0,0.0,0.0,5458,98745,302,2,7,9,0,5,0
35,Beller?n,2015/16,defender,172,3240,1,6,18,33,0,18,871,0,0,55,65,0.0,0.0,0.0,0.0,6169,98745,541,2,7,10,0,3,0
36,Beller?n,2016/17,defender,119,2503,1,5,10,34,0,12,569,0,0,65,65,133.8,437.6,508.3,395.0,6894,98745,0,2,7,11,0,4,0
37,Gibbs,2006/07,defender,0,0,0,0,0,0,0,0,0,0,0,40,40,0.0,0.0,0.0,0.0,651,42427,0,2,8,1,0,0,0
38,Gibbs,2007/08,defender,0,0,0,0,0,0,0,0,0,0,0,50,50,0.0,0.0,0.0,0.0,682,42427,0,2,8,2,0,0,0
39,Gibbs,2008/09,defender,17,535,0,0,0,10,0,2,0,0,0,50,49,0.0,0.0,0.0,0.0,1327,42427,0,2,8,3,0,1,0
40,Gibbs,2009/10,defender,5,270,0,0,0,3,0,0,0,0,0,50,43,0.0,0.0,0.0,0.0,1977,42427,0,2,8,4,0,1,0
41,Gibbs,2010/11,defender,7,348,0,0,0,8,0,0,0,0,0,55,52,0.0,0.0,0.0,0.0,2647,42427,0,2,8,5,0,1,0
42,Gibbs,2011/12,defender,61,1249,1,0,6,13,0,7,0,0,0,55,51,0.0,0.0,0.0,0.0,3387,42427,209,2,8,6,0,1,0
43,Gibbs,2012/13,defender,93,2103,0,5,8,23,0,5,0,0,0,55,53,0.0,0.0,0.0,0.0,4063,42427,324,2,8,7,0,2,0
44,Gibbs,2013/14,defender,89,2056,0,1,10,21,0,5,130,0,0,55,52,0.0,0.0,0.0,0.0,4766,42427,313,2,8,8,1,2,0
45,Gibbs,2014/15,defender,76,1660,0,5,6,22,0,9,408,0,0,55,52,0.0,0.0,0.0,0.0,5453,42427,262,2,8,9,0,3,1
46,Gibbs,2015/16,defender,26,391,1,0,1,6,0,0,100,0,0,55,51,0.0,0.0,0.0,0.0,6170,42427,69,2,8,10,0,0,0
47,Gibbs,2016/17,defender,45,702,0,1,6,3,0,3,201,0,0,50,47,43.1,142.4,171.4,117.0,6895,42427,0,2,8,11,0,3,0
48,Jenkinson,2011/12,defender,12,498,0,1,1,15,0,0,0,0,0,55,54,0.0,0.0,0.0,0.0,3548,80254,68,2,9,6,1,0,0
49,Jenkinson,2012/13,defender,51,1185,0,0,6,11,0,6,0,0,0,45,40,0.0,0.0,0.0,0.0,4064,80254,164,2,9,7,1,0,0
50,Jenkinson,2013/14,defender,50,803,1,2,3,9,0,7,57,0,0,45,40,0.0,0.0,0.0,0.0,4767,80254,160,2,9,8,0,1,0
51,Jenkinson,2014/15,defender,94,2669,0,2,9,30,0,2,458,0,0,50,50,0.0,0.0,0.0,0.0,5454,80254,369,2,9,9,0,2,0
52,Jenkinson,2015/16,defender,28,1228,2,0,0,24,0,0,189,0,0,50,48,0.0,0.0,0.0,0.0,6172,80254,178,2,9,10,1,3,1
53,Jenkinson,2016/17,defender,2,82,0,0,0,1,0,0,12,0,0,50,48,2.1,19.4,2.0,0.0,6897,80254,0,2,9,11,0,0,0
54,Monreal,2012/13,defender,50,791,1,1,5,5,0,5,0,0,0,55,51,0.0,0.0,0.0,0.0,4266,38411,145,2,10,7,0,2,0
55,Monreal,2013/14,defender,63,1184,0,1,8,17,0,2,101,0,0,55,47,0.0,0.0,0.0,0.0,4770,38411,208,2,10,8,0,2,0
56,Monreal,2014/15,defender,92,2311,0,2,9,23,0,6,553,0,0,50,49,0.0,0.0,0.0,0.0,5456,38411,361,2,10,9,0,3,0
57,Monreal,2015/16,defender,152,3249,0,3,17,34,0,14,862,0,0,55,59,0.0,0.0,0.0,0.0,6173,38411,511,2,10,10,0,1,0
58,Monreal,2016/17,defender,115,3153,0,3,11,43,0,9,681,0,0,60,59,105.8,554.0,280.3,220.0,6898,38411,0,2,10,11,0,5,0
59,Holding,2016/17,defender,32,810,0,0,4,8,0,3,171,0,0,45,41,32.2,172.0,49.2,100.0,7051,156074,0,2,11,11,0,3,0
60,Mustafi,2009/10,defender,0,0,0,0,0,0,0,0,0,0,0,45,45,0.0,0.0,0.0,0.0,2194,69140,0,2,12,4,0,0,0
61,Mustafi,2010/11,defender,0,0,0,0,0,0,0,0,0,0,0,40,40,0.0,0.0,0.0,0.0,2866,69140,0,2,12,5,0,0,0
62,Mustafi,2011/12,defender,0,0,0,0,0,0,0,0,0,0,0,50,50,0.0,0.0,0.0,0.0,3568,69140,0,2,12,6,0,0,0
63,Mustafi,2012/13,defender,0,0,0,0,0,0,0,0,0,0,0,40,40,0.0,0.0,0.0,0.0,4092,69140,0,2,12,7,0,0,0
64,Mustafi,2016/17,defender,90,2274,2,2,8,30,0,8,513,0,0,60,58,112.4,598.2,159.7,364.0,7074,69140,0,2,12,11,0,11,0
65,Kolasinac,NaN,defender,NaN,NaN,NaN,NaN_,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN_13,NaN,2,13,NaN,NaN,NaN,NaN
66,S?nchez,2014/15,midfielder,207,2944,16,8,12,31,0,29,705,1,0,105,116,0.0,0.0,0.0,0.0,5690,37265,888,3,14,9,0,4,0
67,S?nchez,2015/16,midfielder,167,2436,13,5,14,23,0,17,560,0,0,110,112,0.0,0.0,0.0,0.0,6400,37265,690,3,14,10,0,1,0
68,S?nchez,2016/17,midfielder,264,3217,24,11,13,41,0,32,834,1,0,110,117,453.4,1357.8,1278.3,1896.0,7105,37265,0,3,14,11,0,6,0
69,Walcott,2006/07,midfielder,36,646,0,3,0,7,0,5,0,0,0,85,83,0.0,0.0,0.0,0.0,27,20467,0,3,15,1,0,0,0
70,Walcott,2007/08,midfielder,65,1260,4,3,0,12,0,4,0,0,0,75,71,0.0,0.0,0.0,0.0,685,20467,0,3,15,2,0,0,0
71,Walcott,2008/09,midfielder,54,1265,2,2,0,15,0,3,0,0,0,70,67,0.0,0.0,0.0,0.0,1332,20467,0,3,15,3,0,0,0
